X,Y,Z,MaximumInscribedSphereRadius
28.7112865448,8.79385852814,60.0157546997,1.98826235693
28.6958255768,8.89053821564,59.9939689636,1.98241108909
28.6863441467,8.98775100708,59.9715881348,1.97680672961
28.6871852875,9.08504676819,59.9483718872,1.97263434426
28.6837539673,9.1812543869,59.9208831787,1.96763022955
28.6765213013,9.27843284607,59.8979873657,1.96300120424
28.6658210754,9.37501049042,59.8741226196,1.96008474024
28.6577587128,9.47076797485,59.8461914062,1.95650745334
28.6484336853,9.56813621521,59.8247299194,1.95411926895
28.6372489929,9.66461658478,59.8006973267,1.95208827316
28.6267757416,9.76009178162,59.7726516724,1.95241048403
28.6256637573,9.85801696777,59.7518959045,1.94945495507
28.6197605133,9.95515632629,59.7283859253,1.94707256078
28.6117992401,10.0517730713,59.7036781311,1.94394986716
28.6083049774,10.1494827271,59.6819114685,1.94104313127
28.6043548584,10.2466287613,59.6583824158,1.94031115767
28.5977859497,10.3429660797,59.6320495605,1.93737822071
28.5884819031,10.439496994,59.6072158813,1.93694995084
28.5807571411,10.5363836288,59.5827445984,1.93886277924
28.572479248,10.6329164505,59.5573005676,1.94077560765
28.560503006,10.7282295227,59.5294075012,1.94268843605
28.5445766449,10.8224191666,59.4996414185,1.94592693632
28.5392131805,10.9191217422,59.4743804932,1.95001454407
28.5378799438,11.014462471,59.4439735413,1.95256695649
28.5341072083,11.110496521,59.4160308838,1.9556069613
28.5313816071,11.2045907974,59.3821220398,1.95690055869
28.5289745331,11.2977333069,59.3455543518,1.95410237278
28.5277767181,11.3898859024,59.3062095642,1.9543680484
28.5276050568,11.482884407,59.2691574097,1.9549866173
28.5309638977,11.5779190063,59.2380371094,1.95574752616
28.5309143066,11.6715860367,59.2024612427,1.95672815574
28.52684021,11.76304245,59.1614112854,1.95770878531
28.5198116302,11.8522891998,59.1163139343,1.96087844681
28.5143413544,11.9425611496,59.0735473633,1.96262497175
28.5116844177,12.0322761536,59.0295562744,1.95996295243
28.5163555145,12.1208562851,58.9832077026,1.95781665475
28.5246601105,12.2108926773,58.9398536682,1.95824594088
28.5246353149,12.2972612381,58.8897628784,1.95945164216
28.5288524628,12.3823442459,58.8373184204,1.95546064729
28.5332336426,12.4667816162,58.783821106,1.94876707868
28.5423641205,12.5510597229,58.7305107117,1.94240296118
28.5524616241,12.6321353912,58.6728515625,1.93660681025
28.5664367676,12.7157325745,58.6195869446,1.93044742902
28.5812320709,12.7974071503,58.5637283325,1.92496508089
28.5966777802,12.8805389404,58.5102043152,1.92029499876
28.6119995117,12.96534729,58.4592971802,1.91716956545
28.6314296722,13.04845047,58.4068565369,1.91632271649
28.6469116211,13.1296358109,58.3505096436,1.91630203959
28.6638565063,13.2142219543,58.2996826172,1.91616224947
28.6793308258,13.2976760864,58.2466392517,1.91763674059
